ZINC13588535,C1=CC(=CC=C1NC2C(C(C(C(O2)CO)O)O)O)S(=O)(=O)N
ZINC22210961,C1=CC=C(C=C1)OC2=CC3=C(C=C2)NC(=O)C3=O
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
A24,C1COCCN1CCNC(=O)C2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)[N+](=O)[O-]
ZINC13981565,CCC(CC1=CC=CC=C1)OC(=O)NN(C)C#N
D00040,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
D00501,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
D01977,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
ZINC14946743,CC1=CC=C(C=C1)S(=O)(=O)N(CC(C)C)C(CCCCNC(=O)N(C(C)C)C(C)C)C(=O)O
ZINC26295657,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC3C(CC4=CC=CC=C34)O
ZINC68204270,CN1CCN(CC1)C(=O)CNC2CC2C3=CC=C(C=C3)C4=CC(=CC=C4)OC
D00618,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ZINC13558510,CC(C)(C)OC(=O)NC1CCC2(CCCN2C1=O)C(=O)OC
D01183,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O
ZINC28525384,CCCCN1C(=NNC1=S)C2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Cl
D00607,C1CCC2(CC1)OCC(O2)CN=C(N)N.C1CCC2(CC1)OCC(O2)CN=C(N)N.OS(=O)(=O)O
D00538,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
D03218,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
ZINC13983947,CC(C)N1CC(C(C1)C(=O)NC2=NC=C(C=C2)Cl)C(=O)NC3=C(C=C(C=C3)N4C=CC=CC4=O)F
ZINC00001712,COC(=O)C1=CC=C(C=C1)O
ZINC26398530,CCC(C)C1C(=O)CCC(C(OC(=O)C2CCCN(C2)C(=O)C(=O)CCSCCC(CC(CC(=O)N1C)C)OC)CCC3=CN=CC=C3)C
ZINC13862019,CC(C)CC(C(=O)NC1CCOCC1=O)NC(=O)OCC2=CC=CC=C2
ZINC18825334,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O
ZINC13520227,COC1=CC=C(C=C1)OS(=O)(=O)N
D00540,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-]
ZINC29222734,CCCCNC(=O)C1CCCN1C(=O)NC2=CC=CC=C2CC
D02368,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
D00234,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
ZINC29136153,C1=CC=C(C=C1)C2=CC=C(C=C2)CCC(=O)C3=NC=C(O3)C4=CC(=NC=C4)C(=O)O
ZINC13559869,CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)O
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
ZINC34803183,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)C(=O)NCC(C2=CC=CC=C2)O)NC(=O)OCC3=CC=CC=C3
D02088,CC1=C(C(=CC=C1)C)NC(=O)C(C)N.Cl
GDM,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC
ZINC14954206,CC(C)(C)OC(=O)NC(CC1=CC=C(C=C1)C=CC(=O)O)C(=O)NCCCCOC2=CC=CC(=C2C(=O)OC)O
ZINC26831458,CC1=CC(=NC=C1)CCC2=CC(=CC=C2)C(CC3=NC(=CC(=C3)C)N)N
D03878,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24.C(=CC(=O)O)C(=O)O
AMP,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
ZINC38371659,CCC(C(=O)C(=O)NCC(C1=CC(=CC=C1)OC2=CC(=C(C=C2)Cl)Cl)O)NC(=O)C(CC(C)C)NC(=O)OCC3=CC=CC=C3
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
ZINC03874404,CN=C(N)NCCCC(C(=O)O)N
ZINC44032226,CCCCCCCCCCCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)O
ZINC13758396,CCCCOC1=CC=C(C=C1)C(=C)C2CNC(C2CC(=O)O)C(=O)O
ZINC26506850,CC1CCC(CC1(C(=O)C(=O)N2CCCCC2C(=O)OCC3=CC=CC=C3)O)C(C)OC
ZINC13863704,C1=CC=C(C=C1)C2=CC(=CC(=C2O)C3=CC4=C(N3)C=CC(=C4)C(=N)N)Cl
D00501,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
ZINC14953264,C=CC1=CC(=CC(=C1)OC2CCOCC2)C(C(=O)O)NC3=CC=C(C=C3)C(=N)N
ATP,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
ZINC96284078,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C=C3)C4=CC=NC=C4
D00493,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
D01828,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
D00394,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
ZINC39716428,C1=CC2=C(C=C1S(=O)(=O)N)NC(=N2)C3=CSC=N3
ZINC14956429,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCC(C3)OC4=CC=C(C=C4)C#N)OC
ZINC71329836,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CN3CCC(CC3)C(=O)O)O
D00216,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
D00499,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
ZINC77303083,COC1C(C(C(C(O1)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O
D03260,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.O.O.O.Cl
ZINC68248111,CC(C)OC1=NC(=NC2=C1CN(CC2)S(=O)(=O)C3=CN=CC=C3)C4=CN=C(C=C4)Cl
ZINC29135943,C1=CC=C(C=C1)C2=CC=C(C=C2)CCC(=O)C3=NC=CO3
ZINC14980085,C1=CC=C(C=C1)CNC(=O)CCCC(=O)C2=NC=C(O2)C3=CC=CC=N3
ZINC13726690,COCCOC1=CC=C(C=C1)CC2=CN=C(N=C2N)N
D03670,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
D01071,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
ZINC13532618,CCOC(=O)C1=NN2C3=CC(=C(C=C3NC(=O)C2=N1)[N+](=O)[O-])N4C=CC=C4
ZINC84741925,CC(=O)N(CC1=CC=CC=C1)CC(=O)NCC2C(C(C(C(O2)OC)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O
D00218,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ZINC40465457,CC(=O)NC(CC1=CC=CC=C1)C(=O)NCC=C
ZINC13740147,CC(C)C(C(=O)C(F)(F)F)NC(=O)CN1C(=CC2=C(C1=O)NC3=C(C=CC=C23)C#N)C4=CC=CC=C4
ZINC27090437,CC(C)CC(C(=O)NC(CC(=O)N)C(=O)NCC1=CC=CC=C1)C(=O)NO
ZINC13454915,C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=C(N3)C(=O)O)CCC(=O)O
D00283,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
D00542,C(C(F)(F)F)(Cl)Br
ZINC34717901,C1CN(CCC1CCCN=C(N)N)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC=CC(=C3)NC(=O)CCN
ZINC72112674,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)CN3C(=O)C4=C5C(=C(C=C4)Cl)C=CC=C5C3=O
ZINC13528821,C1(=C(C(=C(C(=C1F)F)S(=O)(=O)NS(=O)(=O)N)F)F)F
AMP,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
ZINC73314096,CC1=CC(=NO)OC(=C1)C
ZINC13859866,C1=CC(=CC=C1C(=O)CCl)OCC(=O)O
ZINC13681308,COC1=CC(=C2C3C4CCCC(N4C(=O)C(=O)C5=CC=C(C=C5)Cl)C(=O)N3CCC2=C1)OC
ZINC28227329,CC1=CC2=NC=C3C(=C2C=C1)NN(C3=O)C4=CSC=C4
ZINC29037718,COC1=CC=C(C=C1)N2C(=CC(=N2)C(=O)N)C(=O)CC3=C(C=C(C=C3)N4C=CC=CC4=O)F
ZINC27104879,CC(C)CC(C(=O)NC1CN(CC1=O)C(=O)C2=CC=C(C=C2)OC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4
ZINC05782275,CC1=CC(=CC=C1)N2CC(OC2=O)CO
D00542,C(C(F)(F)F)(Cl)Br
ZINC28381632,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C(C)OC)NC(=O)C4=NC=CN=C4
ZINC13804361,CC1=CC(=[N+](C(=C1)C)CC(=O)NC2=CC(=C(C=C2S(=O)(=O)N)S(=O)(=O)N)Cl)C
ADK,CN1C=NC(=C2C1=NC=N2)N
ZINC96170493,CCCC(C1=CC=C(C=C1)C(=O)NCCC(=O)O)NC2=CN=C(N=C2)N3C=C(C=N3)C(F)(F)F
ZINC13800467,C1=CC2=C(C=C1NC(=O)CN)SC(=N2)S(=O)(=O)N
D05453,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3.Cl
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
ZINC72124868,C1=CC=C(C=C1)CSC2=NC(=NC(=O)N2)SCC3=CC(=CC=C3)[N+](=O)[O-]
ZINC13800519,CNCC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
2MY,CC1=C(C(=CC=C1)C)O
ZINC28608411,C1CC2=CC=CC=C2C1C(=O)C3=C(C(=CC(=C3)C4=CC(=CC(=C4O)[N+](=O)[O-])F)[N+](=O)[O-])O
ZINC95564326,CN1C2=C(N=C1SCCC3=CC=C(C=C3)Cl)N(C(=O)N(C2=O)C)C
ZINC40874967,C1=CC=C(C=C1)CCCCCCC(=O)C2=NN(N=N2)C3=CC=CC=C3
ZINC84704481,CC1=CC=CNC1=C2NC(=O)C(=O)C(=N2)C(=O)O
ZINC13800448,C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)NC(=O)CN
ZINC27103260,CCOC(=O)C(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2
ZINC13765411,CN1CCN(CC1)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3
ZINC14956984,C1=CC2=C(C=C1C(=N)N)NC(=C3C=C(C=C(C3=O)C4=C(C=CC(=C4)Cl)Cl)C(CC(=O)O)C(=O)O)N2
D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
D03798,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
D04023,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)C#C)OCCOC.Cl
D00542,C(C(F)(F)F)(Cl)Br
ZINC13983251,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C
ZINC72177716,CC1=NC=C(N1CC(C)OC(=O)C=CC2=CC(=CC=C2)OC)[N+](=O)[O-]
ZINC34803553,CCCCCCCCC=CCCCCCCCC(=O)C1=NC=C(O1)C2=NC=CS2
ZINC95592861,CC1=CC=CC(=C1)C2CC2NCCOC3CNCC3CC4=NC(=CC(=C4)C)N
ZINC34717903,C1CN(CCC1CCN)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)CCN
ZINC13808273,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CC2=CC=C(C=C2)[N+](=O)[O-])CC(=O)NO
D03365,CN1CCCC1C2=CN=CC=C2
D02008,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
D00752,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)OCCN3CCOCC3)OC
ZINC13765409,C1CN(CCN1)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3
ZINC05661320,COC1=CC=C(C=C1)C=C(C#N)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N
D03210,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=C[N+](=C3C)[O-])C)C)C4=CC=C(C=C4)Br
ZINC05917465,CCC(CC)C(=O)NCC1=CC=C(C=C1)S(=O)(=O)N
ZINC14942805,C1=CC=C(C(=C1)CSCC(=O)C(CC(=O)O)NC(=O)C2=CN=C(C=C2)CNS(=O)(=O)C3=CC(=C(C=C3)O)C(=O)O)Cl
D02655,CCN1C2=NC=C(C(=C2C=N1)NN=C(C)C)C(=O)OCC.Cl
ZINC14946786,CC1=CC=C(C=C1)S(=O)(=O)N(CC(C)C)C(CCCCNC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C(=O)N
ZINC27100955,CCC(C(=O)C(=O)OCC)NC(=O)C(CC(C)C)NC(=O)OCC(C)C
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
ZINC84654042,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)OS(=O)(=O)N
ZINC14976462,CC(=O)NC1C(C(C(OC1OC)CO)OC2C(C(C(C(O2)CO)O)NC(=S)NC3CCCCC3)O)O
ZINC38442189,C1CCN(C1)CCNC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42
D00524,C[N+](C)(C)CCOC(=O)N.[Cl-]
ZINC14979992,C1=CC=NC(=C1)C2=CN=C(O2)C(=O)CCCCC#CC3=CC(=CC=C3)C(F)(F)F
D00225,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
D00340,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
ZINC35328113,C1=CC=C(C=C1)CN2C=NC3=C2NC(=O)C(NC3=O)CO
ZINC95554389,C1=CC(=CC=C1CCNC(=O)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)NS(=O)(=O)N)S(=O)(=O)N
D00270,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
D01126,C(CC(C(=O)O)N)CN=C(N)N.Cl
ZINC13488030,CC1=CC=C(C=C1)S(=O)(=O)NC(CC(C)C)C(=O)NC(CC2=CC=CC=C2)C=O
D00577,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
D03217,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
D00642,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.C(C(C(C(C(C(=O)O)O)O)O)O)O
D00317,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
ZINC01530416,CCCCCCCC(=O)O
ZINC84757924,CCOC1=CC=CC(=C1)CCNC(=O)C2=CC=C(C=C2)S(=O)(=O)N
ZINC73196552,CC1=CC(=CC2=C(C3=C(NN=C3N=C12)C)NCC4=CC=NC=C4)OC
D00646,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
D00654,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
ZINC27524329,C1=CC=C(C=C1)CNC2=C(C(=O)C2=O)NCCC(=O)O
D00418,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
ZINC03842753,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
ZINC95586161,CC(C(=O)OC)NS(=O)(=O)NC(=O)OC(C)(C)C
D05156,CN1CCCC1C2=CN=CC=C2.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O.O
ZINC73258826,CC(C)CNCC1C(=O)N(C2=CC=CC=C2C(=N1)C3=CC=CC=C3)CC(=O)NCC=CC(=O)C
ZINC03931476,CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)SCCCC2=CN=CC=C2
ZINC96285633,CC1=CC=C(C=C1)C2=CSC(=N)N2CC(=O)N3CCN(CC3)C
ZINC14968878,C1=CC=C2C(=C1)C=CC3=C2C(=O)OC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O
D00501,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
ZINC40877047,C1=CC=C(C=C1)C=CC2=CC3=C(C=C2)NC(=O)C3=O
ZINC67267160,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
D00329,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
D02237,C1CCCN(CCC1)CCN=C(N)N.C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O
ZINC13758373,CC1=CC(=CC(=C1)C(=C)C2CNC(C2CC(=O)O)C(=O)O)C
ZINC13799763,C(CC(C(=O)NC(CCCN=C(N)N[N+](=O)[O-])C(=O)N)N)CN=C(N)N[N+](=O)[O-]
D01071,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
D00611,CC1(C2CCC(C2)C1(C)NC)C.Cl
ZINC49046654,CCC(C)C(C(C)C)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N
ZINC27095481,CONC=C1C=CC(=O)C(=C1)O
ZINC40880844,COC(=O)C1=CC=CC(=N1)C2=NOC(=N2)C(=O)CCCCCCC3=CC=CC=C3
ZINC72171014,COC1C(C(C(C(O1)CO)SC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O
D00543,C(C(OC(F)F)(F)F)(F)Cl
D00542,C(C(F)(F)F)(Cl)Br
D00043,CC(C)OP(=O)(OC(C)C)F
D05312,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
ZINC28863778,CC(C)C1=CC=C(C=C1)S(=O)(=O)CC(=O)N2CCOCC2C(=O)OC
D00521,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
D02355,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O
D00562,CCCC1=CC(=O)NC(=S)N1
D00283,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
D00584,C1=C(C(=O)NC(=O)N1)F
ZINC13804356,CC1=CC(=[N+](C(=C1)C)CC(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)I)C
ZINC96142531,CC(=O)OC1=CC(=C(C=C1)C2=NOC(C2)C3=CC=CC=C3)OC(=O)C
ZINC28979272,COC(=O)C(=NO)C1=CC(=CC=C1)C(=NO)C(=O)OC
ZINC27559410,C1CCN(C(C1)C(=O)OC(CCCC2=CC=CC=C2)CC3=CC=CC=C3)S(=O)(=O)CC4=CC=CC=C4
ZINC28391816,C1=CC(=CC=C1CNC2=NC(=NC(=N2)Cl)Cl)S(=O)(=O)N
D01964,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
ZINC13755856,CCCN1CCC2CCCC(N2C1=O)C(=O)OC
ZINC14116186,COC1=CC(=CC(=C1OC)OC)C(C(=O)N2CCCCC2C(=O)OC(CCCC3=CC=CC=C3)CCCC4=CN=CC=C4)(F)F
ZINC14946728,CC(C)CN(C(CCCCNC(=O)CN(CC1=CC=C(C=C1)[N+](=O)[O-])C2=CC=CC=C2)CO)S(=O)(=O)C3=CC=C(C=C3)N
D00316,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C
ZINC34803397,CCCCCCCCC=CCCCCCCCC(=O)C1=NC2=CC=CC=C2O1
ZINC22448983,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
ZINC14971923,C1CCC(CC1)CC(C(=O)NCCNC2=CC=C(C=C2)OC(F)(F)F)NC(=O)C3=COC=C3
